split,camera_id,person_id,sequence_id,frame_idx,score,mask_source
train,350cm_inside,0313_man2,0313_man2__DnChange1_box_350cm_inside_male_day_yhjz100,1,3.5,person_mask
train,350cm_inside,0313_man2,0313_man2__DnChange1_box_350cm_inside_male_day_yhjz100,2,3.5,person_mask
train,350cm_inside,0313_man2,0313_man2__DnChange1_box_350cm_inside_male_day_yhjz100,3,3.5,person_mask
train,350cm_inside,0313_man2,0313_man2__DnChange1_box_350cm_inside_male_day_yhjz100,4,3.500000238418579,person_mask
train,350cm_inside,0313_man2,0313_man2__DnChange1_box_350cm_inside_male_day_yhjz100,5,3.500000238418579,person_mask
train,350cm_inside,0313_man2,0313_man2__DnChange1_box_350cm_inside_male_day_yhjz100,6,3.500000238418579,person_mask
train,350cm_inside,0313_man2,0313_man2__DnChange1_box_350cm_inside_male_day_yhjz100,7,3.500000238418579,person_mask
train,350cm_inside,0313_man2,0313_man2__DnChange1_box_350cm_inside_male_day_yhjz100,8,3.500000238418579,person_mask
train,350cm_inside,0313_man2,0313_man2__DnChange1_box_350cm_inside_male_day_yhjz100,9,3.500000238418579,person_mask
train,350cm_inside,0313_man2,0313_man2__DnChange1_box_350cm_inside_male_day_yhjz100,10,3.500000238418579,person_mask
train,350cm_inside,0313_man2,0313_man2__DnChange1_box_350cm_inside_male_day_yhjz100,11,3.500000238418579,person_mask
train,350cm_inside,0313_man2,0313_man2__DnChange1_box_350cm_inside_male_day_yhjz100,12,3.500000238418579,person_mask
train,350cm_inside,0313_man2,0313_man2__DnChange1_box_350cm_inside_male_day_yhjz100,13,3.500000238418579,person_mask
train,350cm_inside,0313_man2,0313_man2__DnChange1_box_350cm_inside_male_day_yhjz100,14,3.500000238418579,person_mask
train,350cm_inside,0313_man2,0313_man2__DnChange1_box_350cm_inside_male_day_yhjz100,15,3.500000238418579,person_mask
train,350cm_inside,0313_man2,0313_man2__DnChange1_box_350cm_inside_male_day_yhjz100,16,3.500000238418579,person_mask
train,350cm_inside,0313_man2,0313_man2__DnChange1_box_350cm_inside_male_day_yhjz100,17,3.500000238418579,person_mask
train,350cm_inside,0313_man2,0313_man2__DnChange1_box_350cm_inside_male_day_yhjz100,18,3.500000238418579,person_mask
train,350cm_inside,0313_man2,0313_man2__DnChange1_box_350cm_inside_male_day_yhjz100,19,3.500000238418579,person_mask
train,350cm_inside,0313_man2,0313_man2__DnChange1_box_350cm_inside_male_day_yhjz100,20,3.500000238418579,person_mask
train,350cm_inside,0313_man2,0313_man2__DnChange1_box_350cm_inside_male_day_yhjz100,21,3.500000238418579,person_mask
train,350cm_inside,0313_man2,0313_man2__DnChange1_box_350cm_inside_male_day_yhjz100,22,3.500000238418579,person_mask
train,350cm_inside,0313_man2,0313_man2__DnChange1_box_350cm_inside_male_day_yhjz100,23,3.5,person_mask
train,350cm_inside,0313_man2,0313_man2__DnChange1_box_350cm_inside_male_day_yhjz100,24,3.500000238418579,person_mask
train,350cm_inside,0313_man2,0313_man2__DnChange1_box_350cm_inside_male_day_yhjz100,25,3.500000238418579,person_mask
train,350cm_inside,0313_man2,0313_man2__DnChange1_box_350cm_inside_male_day_yhjz100,26,3.500000238418579,person_mask
train,350cm_inside,0313_man2,0313_man2__DnChange1_box_350cm_inside_male_day_yhjz100,27,3.500000238418579,person_mask
train,350cm_slantside,0313_man2,0313_man2__DnChange1_box_350cm_slantside_male_day_yhjz100,1,3.5,person_mask
train,350cm_slantside,0313_man2,0313_man2__DnChange1_box_350cm_slantside_male_day_yhjz100,2,3.5,person_mask
train,350cm_slantside,0313_man2,0313_man2__DnChange1_box_350cm_slantside_male_day_yhjz100,3,3.5,person_mask
train,350cm_slantside,0313_man2,0313_man2__DnChange1_box_350cm_slantside_male_day_yhjz100,4,3.5,person_mask
train,350cm_slantside,0313_man2,0313_man2__DnChange1_box_350cm_slantside_male_day_yhjz100,5,3.5,person_mask
train,350cm_slantside,0313_man2,0313_man2__DnChange1_box_350cm_slantside_male_day_yhjz100,6,3.5,person_mask
train,350cm_slantside,0313_man2,0313_man2__DnChange1_box_350cm_slantside_male_day_yhjz100,7,3.5,person_mask
